County,incident_acres_burned,incident_longitude,incident_latitude,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),Year,Population,Density,Land Area (mi),None,D0,D1,D2,D3,D4,Temp Difference,Avg Temperature (F),Wind Speed to Wind Run Ratio,Precip to Solar Rad Ratio,Weather Intensity,Dew Point,Month,Day
shasta,37.0,-122.309,40.774,2017-10-31,0.08,0.0,326.0,6.0,43.075,5.149999999999999,89.0,3.6,85.8,52.7,2017,179921.0,47.64856991525424,3776.0,100.0,0.0,0.0,0.0,0.0,0.0,5.149999999999999,43.075,0.0419580419580419,0.0,135.67499999999998,40.875,10,31
inyo,407.0,-118.01651,36.602575,2013-02-24,0.12,0.0,431.0,1.8,35.150000000000006,1.499999999999993,52.0,5.5,132.9,41.7,2013,18351.0,1.7996469549867609,10197.0,0.0,100.0,100.0,92.19,0.0,0.0,1.499999999999993,35.150000000000006,0.0413844996237772,0.0,92.65,25.550000000000004,2,24
san bernardino,30.0,-116.941311,34.288877,2013-04-20,0.23,0.0,646.0,4.2,50.6,27.999999999999982,33.0,3.3,79.5,58.9,2013,2073512.0,103.3242973888778,20068.0,0.0,100.0,74.64,54.54,0.0,0.0,27.999999999999982,50.6,0.0415094339622641,0.0,86.89999999999999,37.2,4,20
madera,274.0,-119.635004,37.116295,2013-04-30,0.28,0.0,650.0,9.4,50.1,34.999999999999986,90.0,6.4,153.1,69.8,2013,151527.0,70.90641085634067,2137.0,0.0,100.0,100.0,33.76,0.0,0.0,34.999999999999986,50.1,0.0418027433050293,0.0,146.5,48.1,4,30
tehama,6896.0,-121.595555,40.190062,2013-05-01,0.285,0.0,655.5,7.800000000000001,51.1625,32.825,88.5,6.4,153.8,67.6,2013,63212.0,21.435062733129875,2949.0,0.0,100.0,0.0,0.0,0.0,0.0,32.825,51.1625,0.0416124837451235,0.0,146.0625,48.8625,5,1
napa,75.0,-122.350844,38.441792,2013-04-30,0.29,0.0,661.0,6.2,52.225,30.65,87.0,6.4,154.5,65.4,2013,138538.0,184.2260638297872,752.0,0.0,100.0,0.0,0.0,0.0,0.0,30.65,52.225,0.0414239482200647,0.0,145.625,49.62499999999999,4,30
sonoma,125.0,-122.655616,38.638828,2013-05-01,0.25,0.0,649.0,6.5,55.775000000000006,15.35,84.0,4.2,101.0,61.8,2013,489993.0,311.1066666666667,1575.0,0.0,100.0,0.0,0.0,0.0,0.0,15.35,55.775000000000006,0.0415841584158415,0.0,143.975,52.575,5,1
riverside,2956.0,-116.941311,34.288877,2013-05-01,0.23,0.0,659.0,12.1,50.625,43.05,77.0,4.1,97.8,67.6,2013,2261204.0,313.66403107227075,7209.0,0.0,100.0,89.23,43.94,0.0,0.0,43.05,50.625,0.041922290388548,0.0,131.725,46.025,5,1
san benito,354.0,-120.937494,37.160346,2013-05-03,0.26,0.0,640.0,7.7,56.425,27.05,71.0,3.3,78.7,67.4,2013,56599.0,40.74802015838733,1389.0,0.0,100.0,58.47,0.0,0.0,0.0,27.05,56.425,0.0419313850063532,0.0,130.72500000000002,50.62500000000001,5,3
glenn,217.0,-122.560862,39.514139,2013-05-01,0.275,0.0,657.5,7.15,56.087500000000006,35.075,55.5,3.8,90.45,66.5,2013,27851.0,21.19558599695586,1314.0,0.0,100.0,0.0,0.0,0.0,0.0,35.075,56.087500000000006,0.0420121614151464,0.0,115.3875,47.18750000000001,5,1
